BTCUSD:open,BTCUSD:high,BTCUSD:low,BTCUSD:close,BTCUSD:tick_volume,BTCUSD:spread,BTCUSD:real_volume,BTCUSD:weekday,BTCUSD:hour,BTCUSD:minute,BTCUSD:return,BTCUSD:upper_shadow,BTCUSD:lower_shadow,ETHUSD:open,ETHUSD:high,ETHUSD:low,ETHUSD:close,ETHUSD:tick_volume,ETHUSD:spread,ETHUSD:real_volume,ETHUSD:weekday,ETHUSD:hour,ETHUSD:minute,ETHUSD:return,ETHUSD:upper_shadow,ETHUSD:lower_shadow,BCHUSD:open,BCHUSD:high,BCHUSD:low,BCHUSD:close,BCHUSD:tick_volume,BCHUSD:spread,BCHUSD:real_volume,BCHUSD:weekday,BCHUSD:hour,BCHUSD:minute,BCHUSD:return,BCHUSD:upper_shadow,BCHUSD:lower_shadow,LTCUSD:open,LTCUSD:high,LTCUSD:low,LTCUSD:close,LTCUSD:tick_volume,LTCUSD:spread,LTCUSD:real_volume,LTCUSD:weekday,LTCUSD:hour,LTCUSD:minute,LTCUSD:return,LTCUSD:upper_shadow,LTCUSD:lower_shadow,RPLUSD:open,RPLUSD:high,RPLUSD:low,RPLUSD:close,RPLUSD:tick_volume,RPLUSD:spread,RPLUSD:real_volume,RPLUSD:weekday,RPLUSD:hour,RPLUSD:minute,RPLUSD:return,RPLUSD:upper_shadow,RPLUSD:lower_shadow
47319.72,47446.26,47288.49,47297.49,2465,10.5,0,2,10,0,-0.0004697829995613,0.002674149382118,0.0001903211542597,3518.96,3543.51,3518.96,3523.17,6113,4.13,0,2,10,0,0.0011963762020597,0.0057732099217466,0.0,634.19,637.34,633.99,635.08,824,4.05,0,2,10,0,0.0014033649221841,0.0035586067896957,0.0003154623889967,170.85,172.06,170.83,171.26,1186,3.0,0,2,10,0,0.0023997658764998,0.0046712600724045,0.0001170754551307,1.1994,1.2025,1.1905,1.1928,909,0.0029,0,2,10,0,-0.0055027513756877,0.0025846256461564,0.0019319613607727
47297.49,47302.26,47088.82,47174.01,2116,10.5,0,2,10,30,-0.002610709363224,0.0001008510176756,0.0018091343125608,3523.17,3524.04,3498.25,3515.5,4996,4.08,0,2,10,30,-0.0021770167207373,0.0002469367075673,0.0049310369470449,634.94,635.46,633.06,634.88,929,4.05,0,2,10,30,-9.449711783799904e-05,0.0008189750212618,0.0028749249676176,171.26,171.41,170.7,171.19,1208,3.0,0,2,10,30,-0.0004087352563353,0.0008758612635758,0.0028705330990041,1.1928,1.1929,1.1819,1.1843,1042,0.0029,0,2,10,30,-0.0071260898725688,8.3836351441976e-05,0.0020306286487858
47174.01,47417.84,47104.76,47205.82,3065,10.5,0,2,11,0,0.0006743119781421,0.0044913953406591,0.0014701274351042,3515.5,3532.91,3512.05,3514.07,5401,4.2,0,2,11,0,-0.0004067700184894,0.0049523538614705,0.0005751626542902,634.89,639.57,634.89,635.71,1350,4.05,0,2,11,0,0.0012915623178819,0.006071951046861,0.0,171.19,172.99,170.99,171.81,996,3.0,0,2,11,0,0.0036217068754016,0.0068680519178162,0.0011696590443884,1.184,1.1949,1.1832,1.1835,1163,0.0028,0,2,11,0,-0.0004222972972972,0.0092060810810811,0.0002535496957403
47205.82,47397.01,47140.2,47356.51,2696,10.5,0,2,11,30,0.0031921911323646,0.0008552150485751,0.0013920178531275,3514.07,3538.3,3513.11,3532.8,5207,4.07,0,2,11,30,0.0053300019635351,0.0015568387681159,0.0002732621523379,635.71,638.75,635.56,638.1,1622,4.05,0,2,11,30,0.0037595759072532,0.0010186491145588,0.0002360123355782,171.81,172.69,171.31,172.45,1182,3.0,0,2,11,30,0.003725045107968,0.0013917077413743,0.0029186854240849,1.1835,1.1883,1.1796,1.1854,1141,0.0029,0,2,11,30,0.0016054076890578,0.0024464315842752,0.0033062054933876
47356.51,47625.41,47317.75,47612.4,2957,10.5,0,2,12,0,0.0054034809575283,0.0002732481454411,0.0008191429220536,3532.8,3558.33,3531.21,3549.58,5572,4.2,0,2,12,0,0.0047497735507245,0.0024650803757064,0.0004502705871358,638.0,641.43,637.69,640.82,1739,4.05,0,2,12,0,0.0044200626959248,0.0009519053712429,0.0004861296241119,172.46,173.47,172.44,173.35,1401,3.0,0,2,12,0,0.005160616954656,0.0006922411306605,0.0001159823706797,1.1854,1.2001,1.185,1.1969,1897,0.0028,0,2,12,0,0.0097013666272988,0.0026735733979445,0.0003375527426159
47612.4,47709.12,47503.33,47660.12,3078,8.5,0,2,12,30,0.0010022599154842,0.0010281132317753,0.002296049561157,3549.58,3555.51,3524.42,3537.91,5534,4.02,0,2,12,30,-0.0032877129125136,0.0016706201860502,0.0038275801408458,640.83,641.51,637.94,638.61,2214,4.05,0,2,12,30,-0.0034642572913253,0.0010611238550004,0.0010502555099224,173.35,173.48,172.76,173.16,1449,3.0,0,2,12,30,-0.0010960484568791,0.0007499278915488,0.0023153507756425,1.1969,1.2064,1.1925,1.1986,1435,0.0028,0,2,12,30,0.0014203358676579,0.0065075921908893,0.0036897274633125
47660.12,47732.26,47584.01,47706.31,2592,10.5,0,2,13,0,0.0009691540852183,0.0005439532003209,0.0015994868864561,3537.92,3542.19,3515.68,3537.37,5701,4.13,0,2,13,0,-0.0001554585745297,0.0012069238422575,0.0061695034815455,638.6,640.82,638.43,639.88,993,4.05,0,2,13,0,0.0020043845912934,0.0014690254422705,0.0002662782137432,173.16,174.21,172.8,173.63,1218,3.0,0,2,13,0,0.0027142527142527,0.0033404365605022,0.0020833333333332,1.1986,1.2061,1.1923,1.1961,1235,0.0029,0,2,13,0,-0.0020857667278491,0.0062573001835475,0.0031871173362409
47693.81,47766.83,47513.47,47524.01,3114,10.5,0,2,13,30,-0.0035602104340163,0.001531016289116,0.0002218318300052,3538.18,3552.43,3534.61,3543.69,6143,4.2,0,2,13,30,0.0015572978197831,0.0024663556913837,0.0010100124200406,639.92,641.25,638.06,638.3,1126,4.05,0,2,13,30,-0.0025315664458057,0.0020783847980998,0.0003761401749051,173.63,174.21,172.5,172.54,1102,3.0,0,2,13,30,-0.0062777169843921,0.0033404365605022,0.0002318840579709,1.1961,1.2011,1.1899,1.1909,647,0.0028,0,2,13,30,-0.0043474625867401,0.0041802524872503,0.0008404067568704
47524.01,47797.76,47524.01,47692.39,2404,10.5,0,2,14,0,0.0035430511861267,0.0022093671548019,0.0,3543.99,3556.66,3535.65,3540.22,5828,4.2,0,2,14,0,-0.0010637727533091,0.003575066521068,0.0012925487534115,638.35,640.59,638.04,639.32,1233,4.05,0,2,14,0,0.0015195425706901,0.0019864856409935,0.0004858629553007,172.54,174.0,172.54,173.37,916,3.0,0,2,14,0,0.00481047872957,0.0036338466862778,0.0,1.1909,1.1967,1.1888,1.1937,647,0.0028,0,2,14,0,0.0023511629859769,0.0025131942699171,0.0017664872139973
47692.39,47760.76,47621.63,47725.26,2565,10.5,0,2,14,30,0.0006892084879789,0.0007438408926425,0.001485879420759,3540.22,3540.62,3524.5,3531.66,5635,4.2,0,2,14,30,-0.0024179288292817,0.0001129873284711,0.0020314938289118,639.31,640.15,637.94,639.49,493,4.05,0,2,14,30,0.0002815535499211,0.0010320724327197,0.0021475373859608,173.37,173.53,172.7,173.29,963,3.0,0,2,14,30,-0.0004614408490512,0.0009228816981023,0.0034163288940359,1.1937,1.1938,1.1833,1.1895,716,0.0027,0,2,14,30,-0.0035184719778838,8.37731423305596e-05,0.0052395842136398
